District,Date,temp,humid,wind
Adilabad,2019-01-01,27.44347826086957,75.13478260869564,6.359090909090909
Adilabad,2019-01-02,29.543478260869566,77.7695652173913,6.290909090909091
Adilabad,2019-01-03,31.90869565217391,78.37826086956522,5.2
Adilabad,2019-01-04,31.508695652173916,84.61304347826086,5.659090909090909
Adilabad,2019-01-05,31.37391304347826,82.91304347826087,4.904545454545455
Adilabad,2019-01-06,31.117391304347827,85.18260869565218,7.877272727272728
Adilabad,2019-01-07,30.02608695652174,89.80434782608695,10.104545454545455
Adilabad,2019-01-08,28.26086956521739,84.6086956521739,4.9363636363636365
Adilabad,2019-01-09,26.38695652173913,83.20869565217392,5.831818181818182
Adilabad,2019-01-10,28.87391304347826,80.00434782608696,5.795454545454546
Adilabad,2019-01-11,29.143478260869564,78.1,6.618181818181818
Adilabad,2019-01-12,30.247826086956525,88.05217391304348,10.436363636363636
Adilabad,2019-01-13,31.039130434782606,87.69565217391305,7.609090909090909
Adilabad,2019-01-14,30.617391304347827,91.72608695652173,8.154545454545454
Adilabad,2019-01-15,29.078260869565216,86.27826086956522,5.745454545454545
Adilabad,2019-01-16,27.617391304347827,86.31304347826087,6.545454545454546
Adilabad,2019-01-17,29.769565217391307,84.30869565217391,6.7727272727272725
Adilabad,2019-01-18,31.460869565217394,78.31304347826087,6.681818181818182
Adilabad,2019-01-19,30.756521739130434,83.84782608695652,5.322727272727272
Adilabad,2019-01-20,31.55652173913043,79.07391304347826,6.345454545454545
Adilabad,2019-01-21,32.3304347826087,75.21304347826087,7.2681818181818185
Adilabad,2019-01-22,32.92173913043479,77.1086956521739,10.85909090909091
Adilabad,2019-01-23,31.52173913043478,85.18695652173913,10.136363636363637
Adilabad,2019-01-24,31.77391304347826,87.26521739130435,8.213636363636363
Adilabad,2019-01-25,31.617391304347827,84.51739130434783,9.509090909090908
Adilabad,2019-01-26,28.660869565217393,91.23478260869565,6.836363636363637
Adilabad,2019-01-27,20.778260869565216,92.2695652173913,7.663636363636363
Adilabad,2019-01-28,23.217391304347824,93.66521739130435,7.054545454545454
Adilabad,2019-01-29,25.51304347826087,84.88695652173914,8.181818181818182
Adilabad,2019-01-30,24.97391304347826,79.3,8.549999999999999
Adilabad,2019-01-31,26.7,73.86086956521739,7.472727272727273
Adilabad,2019-02-01,30.391304347826086,85.8391304347826,10.054545454545455
Adilabad,2019-02-02,30.369565217391305,87.58695652173913,8.545454545454545
Adilabad,2019-02-03,30.87826086956522,84.79130434782608,8.681818181818182
Adilabad,2019-02-04,31.426086956521736,76.57391304347826,12.468181818181819
Adilabad,2019-02-05,32.03913043478261,75.81739130434782,8.081818181818182
Adilabad,2019-02-06,32.595652173913045,77.75652173913043,7.795454545454546
Adilabad,2019-02-07,32.78260869565217,74.95652173913044,11.145454545454546
Adilabad,2019-02-08,32.80869565217392,64.79565217391304,15.068181818181818
Adilabad,2019-02-09,31.26086956521739,56.49565217391305,9.113636363636363
Adilabad,2019-02-10,27.156521739130437,64.64782608695653,9.340909090909092
Adilabad,2019-02-11,29.660869565217393,61.582608695652176,8.086363636363636
Adilabad,2019-02-12,32.06956521739131,83.77826086956522,8.590909090909092
Adilabad,2019-02-13,32.98695652173913,88.72173913043478,8.990909090909092
Adilabad,2019-02-14,34.65217391304348,74.67826086956521,12.122727272727273
Adilabad,2019-02-15,34.87391304347826,66.56521739130434,9.14090909090909
Adilabad,2019-02-16,34.31739130434782,87.6608695652174,18.62727272727273
Adilabad,2019-02-17,33.56086956521739,80.24782608695652,8.486363636363636
Adilabad,2019-02-18,31.608695652173914,75.69130434782609,8.936363636363636
Adilabad,2019-02-19,33.60434782608696,72.48695652173913,7.818181818181818
Adilabad,2019-02-20,36.10434782608696,81.12173913043478,10.386363636363637
Adilabad,2019-02-21,34.88260869565217,79.39565217391304,9.904545454545454
Adilabad,2019-02-22,36.20869565217391,69.29565217391304,9.727272727272727
Adilabad,2019-02-23,37.26086956521739,61.9304347826087,11.136363636363637
Adilabad,2019-02-24,37.047826086956526,64.0,7.386363636363637
Adilabad,2019-02-25,37.36521739130435,55.88260869565217,15.227272727272727
Adilabad,2019-02-26,35.24782608695652,51.13913043478261,12.109090909090911
Adilabad,2019-02-27,35.06521739130435,53.55652173913043,11.627272727272727
Adilabad,2019-02-28,33.97391304347826,56.40869565217392,11.259090909090908
Adilabad,2019-03-01,32.31739130434782,58.095652173913045,9.104545454545454
Adilabad,2019-03-02,33.42173913043479,62.49565217391305,9.522727272727273
Adilabad,2019-03-03,33.5304347826087,77.2304347826087,13.65
Adilabad,2019-03-04,36.82173913043478,78.9608695652174,14.781818181818181
Adilabad,2019-03-05,36.62608695652174,59.79565217391304,12.754545454545452
Adilabad,2019-03-06,34.243478260869566,53.61304347826086,13.55909090909091
Adilabad,2019-03-07,33.55652173913043,58.25217391304348,10.768181818181818
Adilabad,2019-03-08,34.47826086956522,56.869565217391305,10.818181818181818
Adilabad,2019-03-09,36.6,56.11739130434783,9.304545454545455
Adilabad,2019-03-10,37.01304347826087,61.9,12.4
Adilabad,2019-03-11,37.63478260869565,66.0913043478261,10.854545454545455
Adilabad,2019-03-12,37.65652173913043,62.904347826086955,12.672727272727274
Adilabad,2019-03-13,37.34347826086957,55.09130434782608,10.486363636363636
Adilabad,2019-03-14,37.79130434782609,58.31739130434782,18.09090909090909
Adilabad,2019-03-15,37.369565217391305,41.2304347826087,9.286363636363637
Adilabad,2019-03-16,37.65652173913043,53.26086956521739,12.454545454545455
Adilabad,2019-03-17,37.495652173913044,58.74782608695652,12.868181818181819
